"filename", "language", "C", "comment", "blank", "total"
"d:\Desktop\Learn\AgroTech\番茄樱桃采摘系统\下位机\STM32\src\app\a_fsm.c", "C", 13, 7, 4, 24
"Total", "-", 13, 7, 4, 24
